n, cpu, naive, binary, non_divergent, sequential
1024, 0.002784, 0.022336, 0.016352, 0.011008, 0.011552
2048, 0.008192, 0.008160, 0.016416, 0.012160, 0.011520
4096, 0.003136, 0.007872, 0.014368, 0.011200, 0.011232
8192, 0.002688, 0.012320, 0.016352, 0.011264, 0.012288
16384, 0.002080, 0.012768, 0.014688, 0.010752, 0.012288
32768, 0.002464, 0.022368, 0.015328, 0.013568, 0.010688
65536, 0.002400, 0.034048, 0.025984, 0.018464, 0.017088
131072, 0.002400, 0.060672, 0.044608, 0.031104, 0.030208
262144, 0.002432, 0.112672, 0.075328, 0.054176, 0.048320
524288, 0.012576, 0.212256, 0.133312, 0.096224, 0.083936
1048576, 0.121632, 0.457760, 0.262144, 0.184288, 0.162592
2097152, 0.367168, 1.236256, 0.522240, 0.369504, 0.322432
4194304, 1.262272, 2.443040, 1.028096, 0.729120, 0.634688
8388608, 2.480640, 4.864832, 2.043488, 1.448256, 1.257280
16777216, 5.739648, 9.706368, 4.065760, 2.868128, 2.501952
